date,close,probability,label,trained_on
2008-12-19,887.8800,0.43967059,0,1
2008-12-22,871.6300,0.40033193,0,1
2008-12-23,863.1600,0.33003249,0,1
2008-12-24,868.1500,0.37522725,0,1
2008-12-26,872.8000,0.24669656,0,1
2008-12-29,869.4200,0.23135736,0,1
2008-12-30,890.6400,0.23272155,0,1
2008-12-31,903.2500,0.18579521,0,1
2009-01-02,931.8000,0.23728402,0,1
2009-01-05,927.4500,0.20986393,0,1
2009-01-06,934.7000,0.19020521,1,1
2009-01-07,906.6500,0.20849516,0,1
2009-01-08,909.7300,0.23627641,1,1
2009-01-09,890.3500,0.18187955,1,1
2009-01-12,870.2600,0.18605875,0,1
2009-01-13,871.7900,0.15172431,1,1
2009-01-14,842.6200,0.18045174,0,1
2009-01-15,843.7400,0.18200285,0,1
2009-01-16,850.1200,0.15544815,1,1
2009-01-20,805.2200,0.20896693,0,1
2009-01-21,840.2400,0.13098562,0,1
2009-01-22,827.5000,0.15484407,0,1
2009-01-23,831.9500,0.15452171,0,1
2009-01-26,836.5700,0.16132336,0,1
2009-01-27,845.7100,0.17474805,0,1
2009-01-28,874.0900,0.19087900,1,1
2009-01-29,845.1400,0.26224472,1,1
2009-01-30,825.8800,0.29467832,0,1
2009-02-02,825.4400,0.29934990,0,1
2009-02-03,838.5100,0.28314654,0,1
2009-02-04,832.2300,0.31617858,0,1
2009-02-05,845.8500,0.29663161,0,1
2009-02-06,868.6000,0.21572584,0,1
2009-02-09,869.8900,0.21683587,1,1
2009-02-10,827.1600,0.21153332,0,1
2009-02-11,833.7400,0.21299484,0,1
2009-02-12,835.1900,0.18786581,0,1
2009-02-13,826.8400,0.21707852,1,1
2009-02-17,789.1700,0.22796922,0,1
2009-02-18,788.4200,0.15367825,0,1
2009-02-19,778.9400,0.13452324,0,1
2009-02-20,770.0500,0.14362964,1,1
2009-02-23,743.3300,0.13964958,0,1
2009-02-24,773.1400,0.15261410,0,1
2009-02-25,764.9000,0.17693437,0,1
2009-02-26,752.8300,0.18174140,1,1
2009-02-27,735.0900,0.14633602,1,1
2009-03-02,700.8200,0.17841489,0,1
2009-03-03,696.3300,0.17575481,0,1
2009-03-04,712.8700,0.20149912,1,1
2009-03-05,682.5500,0.25440840,0,1
2009-03-06,683.3800,0.24599021,0,1
2009-03-09,676.5300,0.26618404,0,1
2009-03-10,719.6000,0.25603002,0,1
2009-03-11,721.3600,0.23760630,0,1
2009-03-12,750.7400,0.24148233,0,1
2009-03-13,756.5500,0.19756845,0,1
2009-03-16,753.8900,0.21119212,0,1
2009-03-17,778.1200,0.20491509,0,1
2009-03-18,794.3500,0.20155026,0,1
2009-03-19,784.0400,0.17339633,0,1
2009-03-20,768.5400,0.15393993,0,1
2009-03-23,822.9200,0.18340806,1,1
2009-03-24,806.1200,0.17959157,0,1
2009-03-25,813.8800,0.20688333,0,1
2009-03-26,832.8600,0.18830988,1,1
2009-03-27,815.9400,0.18247697,1,1
2009-03-30,787.5300,0.21860515,0,1
2009-03-31,797.8700,0.20184706,0,1
2009-04-01,811.0800,0.23549206,0,1
2009-04-02,834.3800,0.24123568,0,1
2009-04-03,842.5000,0.19699971,0,1
2009-04-06,835.4800,0.22976816,1,1
2009-04-07,815.5500,0.21762549,0,1
2009-04-08,825.1600,0.20197638,0,1
2009-04-09,856.5600,0.17703193,0,1
2009-04-13,858.7300,0.19089838,1,1
2009-04-14,841.5000,0.20213222,0,1
2009-04-15,852.0600,0.18627061,0,1
2009-04-16,865.3000,0.16392119,0,1
2009-04-17,869.6000,0.13934347,1,1
2009-04-20,832.3900,0.20357055,0,1
2009-04-21,850.0800,0.18366417,0,1
2009-04-22,843.5500,0.17696863,0,1
2009-04-23,851.9200,0.16881172,0,1
2009-04-24,866.2300,0.17125577,0,1
2009-04-27,857.5100,0.18954066,0,1
2009-04-28,855.1600,0.18116024,0,1
2009-04-29,873.6400,0.16559865,0,1
2009-04-30,872.8100,0.17534693,0,1
2009-05-01,877.5200,0.16814564,0,1
2009-05-04,907.2400,0.16488574,0,1
2009-05-05,903.8000,0.17292579,0,1
